prefix,vrf,tenant,site,vlan_group,vlan_vid,status,role,is_pool,description
10.9.251.0/24,npflan,,npflan,,,Active,Access,,Wireless - NPFCREW
10.10.11.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 11
10.10.12.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 12
10.10.13.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 13
10.10.14.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 14
10.10.15.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 15
10.10.16.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 16
10.10.17.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 17
10.10.18.0/24,npflan,,npflan,,,Active,Access,,Dist 10 - Vlan 18
10.10.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.10.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.11.11.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 11
10.11.12.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 12
10.11.13.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 13
10.11.14.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 14
10.11.15.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 15
10.11.16.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 16
10.11.17.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 17
10.11.18.0/24,npflan,,npflan,,,Active,Access,,Dist 11 - Vlan 18
10.11.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.11.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.12.11.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 11
10.12.12.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 12
10.12.13.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 13
10.12.14.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 14
10.12.15.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 15
10.12.16.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 16
10.12.17.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 17
10.12.18.0/24,npflan,,npflan,,,Active,Access,,Dist 12 - Vlan 18
10.12.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.12.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.13.11.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 11
10.13.12.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 12
10.13.13.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 13
10.13.14.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 14
10.13.15.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 15
10.13.16.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 16
10.13.17.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 17
10.13.18.0/24,npflan,,npflan,,,Active,Access,,Dist 13 - Vlan 18
10.13.248.0/24,npflan,,npflan,,,Active,,,AP-MGMT
10.13.250.0/24,npflan,,npflan,,,Active,Access,,CCTV
10.14.11.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 11
10.14.12.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 12
10.14.13.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 13
10.14.14.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 14
10.14.15.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 15
10.14.16.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 16
10.14.17.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 17
10.14.18.0/24,npflan,,npflan,,,Active,Access,,Dist 14 - Vlan 18
